Conductivity,pH,Turbidity
446.4,8.12,8.84
611.0,8.21,14.4
480.4,8.45,16.9
544.0,8.17,10.9
487.3,7.81,8.12
469.1,7.83,11.4
333.3,8.36,18.2
595.0,7.46,84.6
482.5,7.51,108.0
714.0,7.86,48.2
693.0,7.76,36.9
737.0,7.88,37.9
496.7,7.64,20.2
311.3,7.97,36.5
343.0,8.04,15.9
532.0,7.93,8.6
293.3,7.64,32.5
494.7,7.9,17.4
273.3,7.71,52.8
477.5,7.72,7.18
480.0,7.73,11.2
316.4,7.64,18.8
403.4,7.66,5.6
382.0,7.94,4.6
260.0,7.4,251.0
250.0,8.1,119.0
300.0,7.8,242.0
310.0,7.3,31.3
613.0,8.6,81.0
500.0,8.3,100.0
389.0,8.1,108.0
276.0,7.8,195.0
258.0,7.9,144.0
284.0,7.9,175.0
320.0,8.2,83.3
177.0,8.1,218.0
508.0,8.5,31.0
402.0,8.3,118.0
374.0,8.3,114.0
320.0,8.1,94.7
431.0,8.1,88.5
626.0,8.24,13.3
587.0,8.46,21.6
172.3,7.64,736.0
236.0,7.52,173.0
278.2,7.64,64.5
280.5,8.23,30.2
265.9,7.52,224.0
315.1,8.74,118.0
443.4,7.74,78.8
580.0,8.21,91.4
778.0,7.89,127.0
325.6,7.93,203.0
351.1,7.57,329.0
401.7,7.69,187.0
179.7,6.65,330.0
425.9,7.5,82.6
554.0,7.92,73.9
340.0,7.7,253.0
570.0,8.2,61.8
270.0,7.6,673.0
670.0,8.3,89.5
587.0,8.0,89.7
950.0,8.5,22.1
1130.0,8.6,18.6
1245.0,8.4,25.9
1207.0,8.7,43.6
1173.0,8.5,17.6
920.0,8.9,17.0
1034.0,8.4,11.8
1353.0,8.7,26.6
1497.0,8.6,35.7
266.4,7.76,643.0
378.0,7.23,104.0
410.1,7.89,148.0
776.0,7.84,106.0
322.9,7.63,20.8
310.2,7.56,342.0
302.0,7.64,423.0
497.0,8.81,51.4
732.0,8.4,28.5
767.0,8.62,9.83
422.3,7.89,207.0
772.0,8.75,21.7
850.0,8.97,29.1
455.4,8.03,152.0
733.0,8.47,37.1
632.0,8.47,29.6
654.0,8.58,36.5
555.0,8.4,56.1
830.0,8.53,26.1
1100.0,8.58,11.6
220.0,7.2,882.0
420.0,8.6,22.4
631.0,8.2,18.9
600.0,8.8,47.7
668.0,9.0,62.4
744.0,9.4,174.0
115.2,7.92,519.0
73.5,7.69,670.0
124.8,8.33,200.0
159.6,8.1,131.0
202.3,8.57,37.1
244.2,9.11,44.6
291.0,8.35,484.0
228.1,7.7,202.0
260.2,7.72,217.0
277.7,7.56,491.0
244.9,8.73,92.0
287.5,8.11,383.0
331.2,7.92,385.0
344.9,8.06,119.0
390.8,8.67,144.0
356.3,7.95,610.0
310.9,7.59,113.0
416.8,8.59,62.8
249.7,7.69,266.0
303.6,8.68,226.0
365.7,8.43,223.0
297.5,8.53,111.0
317.4,7.9,246.0
322.2,8.16,213.0
